,global_bore_meta,global_flow_meta,global_frus_meta,fpcn_bore_meta,fpcn_flow_meta,fpcn_frus_meta,sub_bore_meta,sub_flow_meta,sub_frus_meta,fpcn_sub_bore_meta,fpcn_sub_flow_meta,fpcn_sub_frus_meta
sub-005,0.041475,0.043304,0.032046,0.19501,0.14861,0.16331,0.2035,0.21333,0.19784,0.12234,0.1251,0.14369
sub-006,0.048624,0.043989,0.034941,0.13338,0.15415,0.16104,0.18161,0.17697,0.15956,0.12001,0.10862,0.12746
sub-007,0.070138,0.042124,0.049143,0.14549,0.13439,0.17387,0.21051,0.19558,0.20031,0.12449,0.13218,0.14843
sub-008,0.030756,0.03705,0.044427,0.17256,0.14493,0.11965,0.21524,0.2211,0.14962,0.12263,0.097369,0.097568
sub-009,0.046238,0.044118,0.072573,0.1623,0.13849,0.16845,0.19211,0.19105,0.20968,0.12852,0.09287,0.14217
sub-011,0.05258,0.055207,0.046657,0.18926,0.15694,0.1469,0.1803,0.18457,0.1662,0.16046,0.11514,0.11696
sub-012,0.082665,0.067323,0.074545,0.16902,0.14974,0.16833,0.15482,0.20931,0.19337,0.12826,0.11667,0.13397
sub-013,0.056816,0.073117,0.051946,0.17052,0.16696,0.16679,0.22904,0.2156,0.1533,0.13438,0.14473,0.14743
sub-014,0.057114,0.039204,0.041252,0.15782,0.13371,0.16234,0.19789,0.17699,0.22736,0.10762,0.10574,0.14077
sub-015,0.042186,0.04601,0.04201,0.1693,0.20978,0.21741,0.21775,0.20564,0.19993,0.11164,0.14859,0.16505
sub-016,0.036509,0.043113,0.050746,0.17749,0.15777,0.15448,0.22046,0.21728,0.20303,0.15101,0.12615,0.1311
sub-017,0.040905,0.049708,0.052185,0.12969,0.19482,0.16885,0.20817,0.20642,0.17961,0.12089,0.14016,0.11756
sub-018,0.080924,0.11723,0.068881,0.11562,0.17363,0.15277,0.19247,0.2039,0.18389,0.10554,0.15861,0.122
sub-019,0.056732,0.092311,0.048084,0.19002,0.15495,0.137,0.16473,0.19795,0.19841,0.15278,0.13188,0.11596
sub-020,0.039274,0.047315,0.061224,0.14535,0.15728,0.18926,0.17358,0.21003,0.20036,0.12032,0.11673,0.14564
sub-021,0.049068,0.039458,0.039886,0.18015,0.16006,0.16398,0.16408,0.15573,0.20607,0.13229,0.13421,0.12998
sub-022,0.057218,0.044391,0.065272,0.14136,0.15465,0.13166,0.20813,0.17734,0.18117,0.10686,0.11435,0.096125
sub-023,0.047721,0.045638,0.042113,0.13117,0.15405,0.1503,0.21778,0.17085,0.19925,0.12129,0.11613,0.11792
sub-024,0.041002,0.041696,0.052598,0.16882,0.15343,0.18882,0.18069,0.19847,0.16105,0.12901,0.12546,0.14563
sub-025,0.053118,0.062726,0.091237,0.16746,0.15979,0.18576,0.21596,0.22542,0.18383,0.12623,0.1369,0.15641
sub-026,0.046729,0.054243,0.049998,0.14528,0.15422,0.16595,0.17417,0.21708,0.15859,0.11224,0.13073,0.12338
sub-028,0.051517,0.056329,0.049985,0.16052,0.13895,0.15253,0.19203,0.17919,0.2086,0.12751,0.1118,0.13325
sub-029,0.041694,0.07745,0.043424,0.18402,0.15171,0.18863,0.22162,0.18821,0.19324,0.15078,0.11776,0.14586
sub-030,0.034016,0.04645,0.043835,0.17949,0.1735,0.15087,0.20516,0.16399,0.20633,0.13036,0.10968,0.1224
sub-031,0.040666,0.041827,0.045111,0.16149,0.16152,0.155,0.18216,0.2298,0.18407,0.14278,0.11488,0.12501
sub-032,0.037383,0.057149,0.061261,0.1807,0.19745,0.18209,0.20362,0.19586,0.20524,0.13967,0.16244,0.14307
sub-033,0.046319,0.053133,0.048399,0.161,0.17525,0.187,0.23648,0.16735,0.22407,0.13433,0.12048,0.13797
sub-034,0.041939,0.052829,0.048835,0.18817,0.17667,0.1691,0.20902,0.1805,0.19967,0.14723,0.12552,0.14762
sub-035,0.046885,0.051575,0.050047,0.15498,0.11883,0.13236,0.20547,0.19545,0.1714,0.11553,0.1126,0.12191
sub-036,0.061049,0.065403,0.048807,0.18142,0.15418,0.15017,0.22504,0.2367,0.19874,0.18695,0.14883,0.13008
sub-037,0.051229,0.044401,0.051193,0.16655,0.15806,0.16676,0.18949,0.20997,0.18181,0.14415,0.1241,0.13276
sub-039,0.054505,0.077122,0.092219,0.18762,0.13861,0.17901,0.24436,0.19163,0.16771,0.14902,0.11106,0.1492
sub-040,0.052056,0.05116,0.042602,0.18084,0.16484,0.21971,0.20619,0.22341,0.14969,0.14029,0.13337,0.17727
sub-041,0.05233,0.049015,0.034789,0.17791,0.16397,0.17298,0.1802,0.21276,0.21018,0.15687,0.13748,0.12924
sub-042,0.044168,0.068099,0.073439,0.14661,0.13985,0.14715,0.20277,0.17844,0.20887,0.13279,0.11613,0.1222
